index_date,index_place,index_product,index_value,base_volume,base_amount,base_trades
2023-02-02,DAL,DTL,60052.0,0,0,0
2023-02-02,DAL,DTM,0.0,0,0,0
2023-02-02,DAL,DTZ,49363.0,10660,526212115,122
2023-02-02,DAL,MZT,16430.0,1105,18155475,12
2023-02-02,DAL,PRM,38838.0,2880,111853320,38
2023-02-02,DAL,REG,36475.0,3720,135685380,56
2023-02-02,DAL,TRD,65068.0,0,0,0
2023-02-02,EVR,DTL,40813.0,4525,184677700,36
2023-02-02,EVR,DTM,41422.0,14365,595030280,166
2023-02-02,EVR,DTZ,44107.0,9815,432911245,84
2023-02-02,EVR,MZT,8025.0,5200,41727920,48
2023-02-02,EVR,PRM,38426.0,7508,288501724,95
2023-02-02,EVR,REG,34116.0,12084,412257771,134
2023-02-02,EVR,SUG,7653.0,1312,10040321,37
2023-02-02,EVR,TRD,67595.0,0,0,0
2023-02-02,SIB,DTL,41528.0,3980,165279710,36
2023-02-02,SIB,DTM,40253.0,4355,175303830,54
2023-02-02,SIB,DTZ,46828.0,13130,614853785,122
2023-02-02,SIB,MZT,10041.0,1625,16316950,17
2023-02-02,SIB,PRM,37696.0,4260,160585440,56
2023-02-02,SIB,REG,33944.0,8100,274947900,90
2023-02-02,SIB,SUG,2971.0,6775,20128340,167
2023-02-02,SIB,TRD,65871.0,1230,81021170,15
2023-02-03,DAL,DTL,60052.0,0,0,0
2023-02-03,DAL,DTM,0.0,0,0,0
2023-02-03,DAL,DTZ,49804.0,10465,521194050,113
2023-02-03,DAL,MZT,13278.0,1625,21577270,22
2023-02-03,DAL,PRM,39203.0,2820,110552700,33
2023-02-03,DAL,REG,36002.0,4920,177128400,58
2023-02-03,DAL,TRD,65930.0,1300,85709065,17
2023-02-03,EVR,DTL,41342.0,7030,290633580,47
2023-02-03,EVR,DTM,41354.0,17420,720388890,196
2023-02-03,EVR,DTZ,43787.0,8905,389919400,81
2023-02-03,EVR,MZT,8035.0,4810,38647830,47
2023-02-03,EVR,PRM,38582.0,9327,359857239,115
2023-02-03,EVR,REG,34206.0,12383,423578025,152
2023-02-03,EVR,SUG,7497.0,1172,8786505,31
2023-02-03,EVR,TRD,67595.0,0,0,0
2023-02-03,SIB,DTL,41934.0,4410,184926760,35
2023-02-03,SIB,DTM,40296.0,5135,206919245,59
2023-02-03,SIB,DTZ,47296.0,11310,534915810,116
2023-02-03,SIB,MZT,10229.0,2535,25930775,30
2023-02-03,SIB,PRM,37488.0,4020,150701820,47
2023-02-03,SIB,REG,34018.0,7980,271463940,92
2023-02-03,SIB,SUG,2966.0,8061,23907269,184
2023-02-03,SIB,TRD,65933.0,1360,89669065,18
2023-02-06,DAL,DTL,60052.0,0,0,0
2023-02-06,DAL,DTM,0.0,0,0,0
2023-02-06,DAL,DTZ,49808.0,10530,524479735,123
2023-02-06,DAL,MZT,15320.0,1950,29874195,24
2023-02-06,DAL,PRM,39462.0,2880,113650320,37
2023-02-06,DAL,REG,35760.0,4920,175941180,58
2023-02-06,DAL,TRD,62367.0,975,60807500,9
2023-02-06,EVR,DTL,41416.0,5595,231723175,49
2023-02-06,EVR,DTM,41052.0,18200,747153225,210
2023-02-06,EVR,DTZ,42463.0,7670,325691925,87
2023-02-06,EVR,MZT,7530.0,4485,33770750,42
2023-02-06,EVR,PRM,37850.0,9151,346367160,111
2023-02-06,EVR,REG,33623.0,12385,416418306,148
2023-02-06,EVR,SUG,7004.0,997,6982644,25
2023-02-06,EVR,TRD,67595.0,0,0,0
2023-02-06,SIB,DTL,42128.0,4050,170617825,35
2023-02-06,SIB,DTM,40165.0,5590,224524950,71
2023-02-06,SIB,DTZ,47156.0,11570,545592255,121
2023-02-06,SIB,MZT,10172.0,2340,23803195,24
2023-02-06,SIB,PRM,37531.0,4020,150873240,54
2023-02-06,SIB,REG,33425.0,9120,304832220,95
2023-02-06,SIB,SUG,3046.0,6188,18847878,124
2023-02-06,SIB,TRD,62671.0,1100,68938500,11
2023-02-07,DAL,DTL,60052.0,0,0,0
2023-02-07,DAL,DTM,0.0,0,0,0
2023-02-07,DAL,DTZ,49768.0,10725,533764530,130
2023-02-07,DAL,MZT,14249.0,2730,38900940,37
2023-02-07,DAL,PRM,38969.0,3060,119245320,38
2023-02-07,DAL,REG,35753.0,5220,186629880,53
2023-02-07,DAL,TRD,62367.0,0,0,0
2023-02-07,EVR,DTL,41100.0,9120,374828885,66
2023-02-07,EVR,DTM,41105.0,15470,635897665,171
2023-02-07,EVR,DTZ,42211.0,9035,381372290,91
2023-02-07,EVR,MZT,7079.0,4420,31288660,52
2023-02-07,EVR,PRM,37855.0,8233,311659460,100
2023-02-07,EVR,REG,33665.0,13595,457677070,172
2023-02-07,EVR,SUG,6674.0,1016,6780286,26
2023-02-07,EVR,TRD,67595.0,0,0,0
2023-02-07,SIB,DTL,42431.0,3970,168452050,36
2023-02-07,SIB,DTM,40714.0,5850,238174690,65
2023-02-07,SIB,DTZ,46675.0,13065,609813165,133
2023-02-07,SIB,MZT,10836.0,2860,30990765,36
2023-02-07,SIB,PRM,37517.0,4320,162073140,52
2023-02-07,SIB,REG,33635.0,8940,300698400,93
2023-02-07,SIB,SUG,2730.0,7421,20259668,126
2023-02-07,SIB,TRD,66119.0,580,38349000,7
2023-02-08,DAL,DTL,60052.0,0,0,0
2023-02-08,DAL,DTM,0.0,0,0,0
2023-02-08,DAL,DTZ,50883.0,10530,535800655,147
2023-02-08,DAL,MZT,12223.0,2145,26217490,29
2023-02-08,DAL,PRM,39242.0,3240,127144620,40
2023-02-08,DAL,REG,36363.0,4680,170178060,54
2023-02-08,DAL,TRD,65379.0,910,59494500,10
2023-02-08,EVR,DTL,42102.0,5925,249455035,50
2023-02-08,EVR,DTM,41573.0,23530,978222180,197
2023-02-08,EVR,DTZ,42950.0,10075,432725215,98
2023-02-08,EVR,MZT,7343.0,4095,30070105,51
2023-02-08,EVR,PRM,38515.0,7993,307850943,108
2023-02-08,EVR,REG,34265.0,13545,464118083,153
2023-02-08,EVR,SUG,6876.0,1101,7570800,29
2023-02-08,EVR,TRD,68235.0,2470,168541230,12
2023-02-08,SIB,DTL,43155.0,4370,188588695,39
2023-02-08,SIB,DTM,41289.0,6955,287162460,67
2023-02-08,SIB,DTZ,48243.0,11050,533090415,138
2023-02-08,SIB,MZT,11376.0,2535,28836990,34
2023-02-08,SIB,PRM,37884.0,4440,168204540,58
2023-02-08,SIB,REG,34253.0,8040,275393880,94
2023-02-08,SIB,SUG,2858.0,7442,21271105,119
2023-02-08,SIB,TRD,65272.0,1035,67557000,12
2023-02-09,DAL,DTL,60052.0,0,0,0
